scaffold	free	dip	tri	tet	d_dip	d_tri	d_tet
scaffold_1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_3	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_4	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_5	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_6	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_7	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_8	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_9	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_10	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_11	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_12	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_13	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_15	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_16	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_17	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_18	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_19	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_20	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_21	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_23	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_24	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_26	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_28	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_31	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_33	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_35	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_36	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_37	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_38	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_39	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_40	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_41	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_42	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_43	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_44	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_45	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_46	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_47	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_48	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_49	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_50	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_51	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_52	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_53	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_54	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_55	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_56	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_57	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_58	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_59	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_60	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_61	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_62	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_63	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_64	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_65	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_66	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_67	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_68	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_69	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_70	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_71	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_72	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_73	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_74	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_75	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_76	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_77	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_78	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_79	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_80	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_81	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_82	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_83	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_84	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_85	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_86	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_87	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_88	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_89	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_90	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_91	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_92	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_93	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_94	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_95	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_96	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_97	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_98	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_99	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_100	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_102	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_103	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_104	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_105	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_106	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_107	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_108	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_109	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_110	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_111	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_112	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_114	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_116	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_118	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_119	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_120	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_121	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_122	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_123	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_125	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_127	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_128	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_129	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_130	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_131	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_132	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_133	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_134	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_135	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_136	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_138	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_140	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_141	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_142	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_144	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_145	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_146	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_147	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_148	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_149	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_151	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_153	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_154	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_156	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_157	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_158	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_159	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_160	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_161	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_162	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_163	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_164	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_165	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_166	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_167	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_168	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_169	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_170	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_171	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_172	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_173	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_176	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_177	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_178	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_179	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_180	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_181	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_182	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_184	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_185	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_187	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_188	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_189	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_191	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_193	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_194	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_196	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_197	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_198	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_199	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_200	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_201	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_202	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_204	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_205	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_206	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_207	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_208	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_209	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_210	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_211	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_214	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_215	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_216	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_218	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_219	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_220	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_221	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_222	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_223	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_224	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_225	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_226	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_228	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_229	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_230	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_232	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_233	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_235	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_236	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_237	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_238	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_239	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_240	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_241	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_243	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_244	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_245	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_248	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_249	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_250	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_251	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_252	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_253	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_254	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_256	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_257	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
scaffold_258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
